id,location_name,latitude,longitude,region,ethnolinguistic_group,craft_type,specific_technique,time_period,status,description,colonial_impact,sources,images,contributor,date_added
TH001,Lagos,6.5244,3.3792,Southwest Nigeria,Yoruba,Dyeing,Indigo dyeing (Adire),1850-1900,Thriving,"Lagos served as a major center for Yoruba indigo dyeing traditions. Women artisans developed sophisticated resist-dyeing techniques including adire eleko (starch resist) and adire oniko (tied resist). The city's coastal location facilitated trade networks.","Introduction of imported European dyes in 1880s began to compete with traditional indigo production. However, local demand remained strong through this period.","British Museum Collection 1892.5.14; Colonial Office Records CO 147/89","lagos_adire_1890.jpg, adire_cloth_detail.jpg",Archival Research,2024-11-15
TH002,Abuja (Historical Territory),9.0579,7.4951,North Central Nigeria,Gbagyi,Weaving,Strip weaving,1850-1900,Stable,"Gbagyi women practiced traditional strip weaving techniques, creating narrow bands of cloth that were sewn together. Distinctive geometric patterns identified different family lineages.","Minimal European contact during this period. Traditional practices continued largely unchanged.","Missionary Records, Rhodes House Library MS.Afr.s.1840",gbagyi_weaving.jpg,Archival Research,2024-11-18
TH003,Benin City,5.6037,7.3986,South-South Nigeria,Edo,Embroidery,Coral bead embroidery,1850-1897,Thriving,"Edo women created elaborate coral bead embroidery for royal court regalia. These textiles held significant cultural and political meaning within the Kingdom of Benin.","The British invasion of 1897 devastated traditional craft production. Many artisans were displaced and materials were looted.","British Museum Benin Collection; Smithsonian NMAFA 2005-6-1","benin_coral_embroidery.jpg, benin_court_textile.jpg",Archival Research,2024-11-20
TH004,Asaba,4.8156,7.0498,South-South Nigeria,Igbo,Weaving,Akwete weaving,1850-1900,Thriving,"Akwete weaving, practiced by Igbo women, produced colorful woven textiles with complex geometric patterns. The vertical loom technique was distinctive to this region.","Early colonial period saw continued strong demand for traditional textiles. Local markets remained robust.","Colonial Trade Reports, National Archives UK","akwete_loom.jpg, akwete_cloth.jpg",Archival Research,2024-11-22
TH005,Kano,12.0000,8.5167,Northwest Nigeria,Hausa,Dyeing,Indigo dyeing pits,1850-1900,Thriving,"Kano's famous dyeing pits produced indigo-dyed textiles traded across the Sahara. While men operated the dye pits, women were integral to preparatory work and pattern creation.","Introduction of synthetic dyes in late 1890s began to alter production methods, though traditional techniques persisted.","Colonial Office CO 446/7; Historical photographs, Birmingham Museum",kano_dye_pits.jpg,Archival Research,2024-11-25
TH006,Ibadan,7.3775,3.9000,Southwest Nigeria,Yoruba,Dyeing,Adire eleko (starch resist),1900-1950,Stable,"Ibadan became a significant center for adire production in the early 20th century. Women artisans developed new designs and adapted techniques to meet changing markets.","Colonial economy created new demand from European administrators and missionaries. However, imported textiles increasingly competed for market share.","Field Museum Collections; Oral histories collected by University of Ibadan",ibadan_adire.jpg,Archival Research,2024-11-28
TH007,Nsukka,6.3350,7.4790,Southeast Nigeria,Igbo,Pottery and textile integration,Ceremonial cloth production,1850-1920,Declining,"Nsukka women combined textile production with pottery, creating ceremonial cloths used in traditional religious practices. These textiles held deep spiritual significance.","Christian missionary activity from 1900s discouraged traditional religious practices, reducing demand for ceremonial textiles.","Missionary Records, Presbyterian Historical Society; Nsukka Cultural Center archives",nsukka_ceremonial_cloth.jpg,Archival Research,2024-12-01
TH008,Iseyin,7.8500,3.3500,Southwest Nigeria,Yoruba,Weaving,Aso oke (narrow strip weaving),1850-1960,Stable,"Iseyin specialized in aso oke production, where narrow strips were woven and sewn together to create prestigious garments. Women prepared thread and managed dyeing processes.","Demand remained steady through colonial period for ceremonial occasions. Some adaptation to new color preferences influenced by European contact.","Oral histories; British Museum textile collection","aso_oke_weaving.jpg, aso_oke_cloth.jpg",Archival Research,2024-12-03
TH009,Calabar,5.5160,5.5982,South-South Nigeria,Efik,Embroidery,Beadwork and thread embroidery,1850-1920,Declining,"Efik women created intricate embroidered textiles for masquerade costumes and ceremonial dress. Coastal location influenced incorporation of traded materials.","British colonial administration from 1885 disrupted traditional governance structures that supported craft production. Imported machine-made embroidery competed with handwork.","Colonial photographs, National Archives UK; Calabar Museum records",efik_embroidery.jpg,Archival Research,2024-12-05
TH010,Akwete,4.7500,7.0333,Southeast Nigeria,Igbo,Weaving,Akwete cloth weaving,1900-1960,Thriving,"The town of Akwete gave its name to a distinctive weaving tradition practiced exclusively by women. Complex patterns and bright colors characterized these prestigious textiles.","Despite colonial disruption elsewhere, Akwete weaving remained economically viable throughout the colonial period due to strong local and regional demand.","Anthropological surveys, 1930s; University of Nigeria, Nsukka archives","akwete_weavers.jpg, akwete_pattern.jpg",Archival Research,2024-12-08
TH011,Jos Plateau,9.6167,7.1667,North Central Nigeria,Multiple groups,Basketry and textile integration,Woven baskets with textile elements,1850-1950,Stable,"Various ethnic groups on the Jos Plateau combined basketry with textile production. Women created functional and decorative items integrating both traditions.","Tin mining operations from 1900s brought economic changes and population shifts, but craft traditions adapted to serve both local and migrant communities.","Mining company records; Jos Museum ethnographic collection",jos_basketry.jpg,Archival Research,2024-12-10
TH012,Lafia,8.9000,7.7333,North Central Nigeria,Alago,Weaving,Cotton cloth weaving,1850-1930,Declining,"Alago women practiced traditional cotton cloth weaving, producing everyday textiles for local consumption. Techniques passed through matrilineal lines.","Introduction of imported cotton textiles from 1890s undercut local production. By 1930s, traditional weaving significantly diminished as economic activity.","Colonial trade statistics; Anthropological field notes, 1920s",alago_cotton_weaving.jpg,Archival Research,2024-12-12
